1080.SR,1120.SR,1150.SR,1180.SR,1211.SR,2010.SR,2222.SR,2380.SR,7010.SR,8230.SR
16.62603759765625,37.07487106323242,13.639281272888184,28.810535430908203,14.966666221618652,72.7755126953125,24.144506454467773,15.101606369018555,31.263160705566406,25.440000534057617
16.62603759765625,37.01894760131836,13.612692832946777,28.780046463012695,15.366665840148926,72.30496978759766,23.970050811767578,15.087596893310547,31.231416702270508,25.520000457763672
16.566448211669922,37.13079071044922,13.66586685180664,28.810535430908203,15.449999809265137,72.85394287109375,24.144506454467773,15.087596893310547,31.263160705566406,26.280000686645508
16.655834197998047,36.96302795410156,13.586105346679688,28.65810203552246,15.149999618530273,72.14813995361328,24.109621047973633,15.129623413085938,31.167936325073242,26.040000915527344
16.62603759765625,36.96302795410156,13.586105346679688,28.65810203552246,15.016666412353516,71.9913101196289,24.039833068847656,15.087596893310547,31.040979385375977,26.1200008392334
16.655834197998047,36.851192474365234,13.79880428314209,28.65810203552246,14.766666412353516,71.2854995727539,24.039833068847656,14.821427345275879,29.58097267150879,25.8799991607666
16.268489837646484,36.62751007080078,13.745628356933594,28.475175857543945,14.5,70.42284393310547,23.93515968322754,14.345124244689941,29.39053726196289,25.959999084472656
15.910938262939453,36.180145263671875,13.612692832946777,27.591041564941406,14.199999809265137,69.40337371826172,23.9002685546875,14.022918701171875,29.04140853881836,25.68000030517578
15.642780303955078,36.180145263671875,13.639281272888184,27.49958038330078,14.333333015441895,69.7170639038086,23.9002685546875,13.938865661621094,28.85097312927246,25.600000381469727
15.73216438293457,36.68342590332031,13.69245433807373,27.926403045654297,14.100000381469727,68.38388061523438,24.00494384765625,13.812786102294922,28.533573150634766,25.639999389648438
15.821551322937012,37.13079071044922,13.772217750549316,28.627609252929688,14.300000190734863,68.61915588378906,23.830482482910156,14.0089111328125,28.977937698364258,26.0
15.493799209594727,36.739349365234375,13.261739730834961,28.353227615356445,13.833333015441895,67.83493041992188,23.6909236907959,13.784768104553223,28.819229125976562,25.959999084472656
15.493799209594727,36.79526901245117,13.229836463928223,28.292247772216797,13.766666412353516,67.6781005859375,23.6909236907959,13.686705589294434,28.279664993286133,25.84000015258789
