AZN.L,BATS.L,BHP.L,BP.L,DGE.L,GSK.L,HSBA.L,RIO.L,SHEL.L,ULVR.L
4727.4091796875,3753.744873046875,1413.4368896484375,430.41827392578125,1956.7083740234375,1498.59375,614.94970703125,2877.145751953125,2142.134521484375,2887.173095703125
4745.34814453125,3769.14404296875,1404.4940185546875,422.36572265625,2017.0452880859375,1494.5880126953125,614.8502197265625,2868.697265625,2049.128173828125,2941.986328125
4726.91064453125,3727.41943359375,1433.8062744140625,421.96795654296875,1964.686767578125,1469.0521240234375,606.3948974609375,2907.46240234375,2007.3497314453125,2920.061767578125
4666.11767578125,3742.320556640625,1474.545166015625,435.1405334472656,1944.7410888671875,1462.5428466796875,609.18017578125,2943.2470703125,2058.08056640625,2904.11572265625
4625.7548828125,3728.41259765625,1548.5704345703125,447.2194519042969,1920.8055419921875,1455.0323486328125,614.2533569335938,3057.557861328125,2168.494873046875,2888.169921875
4672.09765625,3711.02685546875,1517.271240234375,442.7458190917969,1919.8082275390625,1478.0653076171875,612.3634643554688,3035.192626953125,2145.61572265625,2874.21728515625
4513.63623046875,3664.83154296875,1528.2010498046875,447.46795654296875,1911.331298828125,1502.599365234375,610.1749267578125,3062.031005859375,2157.552978515625,2825.595458984375
4451.84765625,3604.230712890625,1495.4114990234375,447.96502685546875,1903.85205078125,1519.623291015625,617.5360717773438,3010.3427734375,2153.57470703125,2792.70556640625
4451.3486328125,3581.38232421875,1532.6722412109375,454.4270324707031,1890.886474609375,1528.1351318359375,607.389404296875,3076.443603515625,2174.9609375,2794.699951171875
4472.77490234375,3623.603515625,1485.474853515625,443.739990234375,1882.908447265625,1521.6258544921875,594.6569213867188,2974.55859375,2141.140625,2801.67626953125
4475.765625,3611.682373046875,1464.1119384765625,443.1929931640625,1879.41796875,1516.1185302734375,588.9868774414062,2953.683837890625,2135.171142578125,2809.649658203125
4489.22021484375,3602.741943359375,1484.9779052734375,441.7679748535156,1857.4769287109375,1487.5782470703125,593.2642822265625,3021.27685546875,2101.65673828125,2785.729248046875
4535.56201171875,3568.466796875,1559.0032958984375,451.61151123046875,1832.045654296875,1555.1727294921875,595.0547485351562,3132.60498046875,2137.96923828125,2779.748779296875
4453.34228515625,3570.950927734375,1578.8759765625,449.3246765136719,1834.5390625,1544.156982421875,597.9395751953125,3144.532958984375,2120.559326171875,2739.88134765625
4537.0576171875,3639.4990234375,1577.3856201171875,449.4241027832031,1880.4150390625,1549.6650390625,599.6303100585938,3160.934326171875,2140.455810546875,2791.70947265625
4469.78564453125,3579.892333984375,1577.3856201171875,448.72796630859375,1861.4664306640625,1557.6761474609375,602.3163452148438,3182.3056640625,2142.943115234375,2760.811767578125
4413.70947265625,3636.51806640625,1561.9844970703125,443.1600341796875,1878.9190673828125,1528.916015625,598.7352294921875,3200.694580078125,2098.174560546875,2795.696533203125
4399.75537109375,3632.047607421875,1570.92724609375,444.1542663574219,1880.9134521484375,1532.421875,602.0178833007812,3218.08935546875,2116.08251953125,2790.712646484375
4469.03759765625,3703.080322265625,1537.1436767578125,442.06634521484375,1908.339599609375,1537.4296875,574.1651611328125,3131.610595703125,2103.149169921875,2832.573486328125
4492.96240234375,3712.51708984375,1633.0289306640625,445.794921875,1930.2803955078125,1548.94775390625,578.5421142578125,3174.353759765625,2118.569091796875,2851.509765625
4487.48046875,3706.556396484375,1629.551513671875,446.8389892578125,1926.789794921875,1547.9462890625,574.3642578125,3151.490478515625,2111.605712890625,2831.57666015625
